date,asset_return,benchmark_return,abnormal_return
2022-07-26,-0.009009009009009028,-0.016307815450316232,0.007298806441307204
2022-07-27,0.014141414141414232,0.04751419269025936,-0.03337277854884513
2022-07-28,-0.0019920318725099584,0.011508072827207227,-0.013500104699717186
2022-07-29,0.015968063872255467,0.007688875047758614,0.008279188824496853
2022-08-01,-0.00982318271119842,0.0037679975282647327,-0.013591180239463152
2022-08-02,-0.023809523809523836,-0.0011986852579419782,-0.022610838551581858
2022-08-03,0.018292682926829285,0.026459353201949698,-0.008166670275120413
2022-08-04,-0.001996007984031989,0.009153534524583673,-0.011149542508615662
2022-08-05,0.03200000000000003,-0.00909324638086495,0.04109324638086498
2022-08-08,-0.007751937984496138,-0.016064048946623388,0.00831211096212725
2022-08-09,-0.00390625,-0.045747212874083454,0.041840962874083454
