date,asset_return,benchmark_return,abnormal_return
2025-05-12,0.008429926238145313,0.07039744224364708,-0.061967516005501766
2025-05-13,0.012539184952978122,0.03146248038446209,-0.018923295431483966
2025-05-14,0.030959752321981338,0.005957776720509678,0.02500197560147166
2025-05-15,-0.006006006006005982,-0.005700730591584824,-0.0003052754144211578
2025-05-16,0.0050352467270895485,-0.0020801535747894118,0.00711540030187896
2025-05-19,-0.014028056112224463,-0.004973392079574257,-0.009054664032650206
2025-05-20,-0.0060975609756097615,-0.0014149828872110914,-0.00468257808839867
2025-05-21,0.012269938650306678,-0.018007317460100314,0.03027725611040699
2025-05-22,-0.008080808080808133,-0.005671744976336823,-0.0024090631044713096
2025-05-23,0.0020366598778003286,-0.01530536863240417,0.0173420285102045
