Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,4027.219970703125,4027.219970703125,4027.89990234375,3961.2900390625,3974.31005859375,0
2022-01-04,4009.0,4009.0,4068.14990234375,3918.409912109375,4045.3701171875,0
2022-01-05,3879.8701171875,3879.8701171875,4020.5,3876.840087890625,3988.60009765625,0
2022-01-06,3909.0400390625,3909.0400390625,3926.989990234375,3839.080078125,3872.39990234375,0
2022-01-07,3796.320068359375,3796.320068359375,3917.820068359375,3786.429931640625,3912.18994140625,0
2022-01-10,3805.389892578125,3805.389892578125,3810.300048828125,3676.77001953125,3738.18994140625,0
2022-01-11,3875.43994140625,3875.43994140625,3879.0,3767.820068359375,3785.580078125,0
2022-01-12,3901.2099609375,3901.2099609375,3937.9599609375,3866.14990234375,3915.610107421875,0
2022-01-13,3811.840087890625,3811.840087890625,3992.22998046875,3801.429931640625,3971.169921875,0
2022-01-14,3900.610107421875,3900.610107421875,3903.050048828125,3783.10009765625,3783.10009765625,0
2022-01-18,3727.239990234375,3727.239990234375,3840.949951171875,3720.159912109375,3840.780029296875,0
2022-01-19,3612.18994140625,3612.18994140625,3777.89990234375,3610.47998046875,3763.25,0
2022-01-20,3494.75,3494.75,3666.6201171875,3493.10009765625,3638.14990234375,0
2022-01-21,3434.7900390625,3434.7900390625,3567.10009765625,3429.8798828125,3466.18994140625,0
2022-01-24,3479.949951171875,3479.949951171875,3483.489990234375,3257.4599609375,3363.39990234375,0
2022-01-25,3350.85009765625,3350.85009765625,3432.2099609375,3335.699951171875,3387.93994140625,0
2022-01-26,3407.0,3407.0,3540.52001953125,3357.110107421875,3447.31005859375,0
2022-01-27,3244.0,3244.0,3422.909912109375,3236.199951171875,3422.909912109375,0
2022-01-28,3303.39990234375,3303.39990234375,3304.169921875,3147.47998046875,3237.489990234375,0
2022-01-31,3483.2099609375,3483.2099609375,3484.7099609375,3304.8798828125,3332.1298828125,0
2022-02-01,3510.860107421875,3510.860107421875,3515.47998046875,3422.360107421875,3504.659912109375,0
2022-02-02,3597.169921875,3597.169921875,3601.219970703125,3526.9599609375,3578.419921875,0
2022-02-03,3432.550048828125,3432.550048828125,3559.199951171875,3425.18994140625,3510.25,0
2022-02-04,3453.070068359375,3453.070068359375,3481.659912109375,3374.5,3420.429931640625,0
2022-02-07,3452.330078125,3452.330078125,3507.530029296875,3440.25,3470.489990234375,0
2022-02-08,3535.1298828125,3535.1298828125,3545.1298828125,3433.85009765625,3443.199951171875,0
2022-02-09,3653.719970703125,3653.719970703125,3655.280029296875,3543.719970703125,3590.699951171875,0
2022-02-10,3536.10009765625,3536.10009765625,3674.3701171875,3520.52001953125,3569.14990234375,0
2022-02-11,3365.25,3365.25,3568.830078125,3341.780029296875,3552.72998046875,0
2022-02-14,3370.199951171875,3370.199951171875,3433.080078125,3324.550048828125,3376.1201171875,0
2022-02-15,3554.449951171875,3554.449951171875,3559.77001953125,3433.0,3439.10009765625,0
