date,twse_close,tsmc_close,nasdaq_close,nvidia_close,sox_close
2022-01-03,18270.509765625,631.0,15832.7998046875,30.121000289916992,4027.219970703125
2022-01-04,18526.349609375,656.0,15622.7197265625,29.290000915527344,4009.0
2022-01-05,18499.9609375,650.0,15100.169921875,27.604000091552734,3879.8701171875
2022-01-06,18367.919921875,644.0,15080.8603515625,28.17799949645996,3909.0400390625
2022-01-07,18169.759765625,634.0,14935.900390625,27.246999740600582,3796.320068359375
2022-01-10,18239.380859375,643.0,14942.830078125,27.399999618530273,3805.389892578125
2022-01-11,18288.2109375,651.0,15153.4501953125,27.816999435424805,3875.43994140625
2022-01-12,18375.400390625,660.0,15188.3896484375,27.999000549316406,3901.2099609375
2022-01-13,18436.9296875,661.0,14806.8095703125,26.575000762939453,3811.840087890625
2022-01-14,18403.330078125,672.0,14893.75,26.941999435424805,3900.610107421875
2022-01-17,18525.439453125,683.0,,,
2022-01-18,18378.640625,662.0,14506.900390625,25.902999877929688,3727.239990234375
2022-01-19,18227.4609375,654.0,14340.259765625,25.066999435424805,3612.18994140625
2022-01-20,18218.279296875,651.0,14154.01953125,24.149999618530273,3494.75
2022-01-21,17899.30078125,641.0,13768.919921875,23.374000549316406,3434.7900390625
2022-01-24,17989.0390625,653.0,13855.1298828125,23.371999740600582,3479.949951171875
2022-01-25,17701.119140625,641.0,13539.2900390625,22.323999404907227,3350.85009765625
2022-01-26,17674.400390625,636.0,13542.1201171875,22.77199935913086,3407.0
2022-01-27,,,13352.7802734375,21.944000244140625,3244.0
2022-01-28,,,13770.5703125,22.84000015258789,3303.39990234375
2022-01-31,,,14239.8798828125,24.486000061035156,3483.2099609375
2022-02-01,,,14346.0,24.63800048828125,3510.860107421875
2022-02-02,,,14417.5498046875,25.242000579833984,3597.169921875
2022-02-03,,,13878.8203125,23.947999954223633,3432.550048828125
2022-02-04,,,14098.009765625,24.319000244140625,3453.070068359375
2022-02-07,17900.30078125,635.0,14015.669921875,24.72800064086914,3452.330078125
2022-02-08,17966.560546875,628.0,14194.4501953125,25.107999801635746,3535.1298828125
2022-02-09,18151.759765625,633.0,14490.3701171875,26.704999923706055,3653.719970703125
2022-02-10,18338.05078125,649.0,14185.6396484375,25.823999404907227,3536.10009765625
2022-02-11,18310.939453125,650.0,13791.150390625,23.948999404907227,3365.25
2022-02-14,17997.669921875,637.0,13790.919921875,24.267000198364254,3370.199951171875
2022-02-15,17951.810546875,633.0,14139.759765625,26.4950008392334,3554.449951171875
2022-02-16,18231.470703125,646.0,14124.08984375,26.51099967956543,3555.68994140625
2022-02-17,18268.5703125,645.0,13716.7197265625,24.506999969482425,3422.60009765625
2022-02-18,18232.349609375,637.0,13548.0703125,23.642000198364254,3384.300048828125
2022-02-21,18221.490234375,632.0,,,
2022-02-22,17969.2890625,627.0,13381.51953125,23.38999938964844,3356.070068359375
2022-02-23,18055.73046875,625.0,13037.490234375,22.386999130249023,3277.800048828125
2022-02-24,17594.55078125,604.0,13473.58984375,23.74799919128418,3399.159912109375
2022-02-25,17652.1796875,604.0,13694.6201171875,24.156999588012695,3452.669921875
2022-02-28,,,13751.400390625,24.385000228881836,3429.530029296875
2022-03-01,17898.25,604.0,13532.4599609375,23.47699928283691,3304.85009765625
2022-03-02,17867.599609375,601.0,13752.01953125,24.219999313354492,3416.159912109375
2022-03-03,17934.400390625,602.0,13537.9404296875,23.714000701904297,3339.760009765625
2022-03-04,17736.51953125,595.0,13313.4404296875,22.93600082397461,3258.919921875
