date,twse_close,tsmc_close,nasdaq_close,nvidia_close,sox_close,twse_return,tsmc_return,nasdaq_return,sox_return,twse_abnormal_return,tsmc_abnormal_return
2022-01-03,18270.509765625,631.0,15832.7998046875,30.121000289916992,4027.219970703125,,,,,,
2022-01-04,18526.349609375,656.0,15622.7197265625,29.290000915527344,4009.0,1.4002884814486638,3.961965134706813,-1.3268662568625578,-0.4524205490554323,2.7271547383112216,4.414385683762245
2022-01-05,18499.9609375,650.0,15100.169921875,27.604000091552734,3879.8701171875,-0.14243859384822644,-0.9146341463414642,-3.3448068827544475,-3.2209998207158863,3.202368288906221,2.306365674374422
2022-01-06,18367.919921875,644.0,15080.8603515625,28.17799949645996,3909.0400390625,-0.7137367266400463,-0.9230769230769265,-0.12787651008169254,0.7518272775622004,-0.5858602165583537,-1.6749042006391268
2022-01-07,18169.759765625,634.0,14935.900390625,27.246999740600582,3796.320068359375,-1.078838306639196,-1.552795031055898,-0.9612181106264384,-2.8835716589425964,-0.11762019601275764,1.3307766278866984
2022-01-10,18239.380859375,643.0,14942.830078125,27.399999618530273,3805.389892578125,0.38317013900048824,1.4195583596214423,0.04639618180870553,0.23891094679668878,0.3367739571917827,1.1806474128247535
2022-01-11,18288.2109375,651.0,15153.4501953125,27.816999435424805,3875.43994140625,0.2677178490952059,1.244167962674969,1.4095062052256635,1.8408113440556484,-1.1417883561304576,-0.5966433813806793
2022-01-12,18375.400390625,660.0,15188.3896484375,27.999000549316406,3901.2099609375,0.4767522281045933,1.382488479262678,0.23057094374328013,0.6649572673263826,0.24618128436131315,0.7175312119362953
2022-01-13,18436.9296875,661.0,14806.8095703125,26.575000762939453,3811.840087890625,0.3348460200431447,0.15151515151514694,-2.5123142542254673,-2.2908244862934413,2.847160274268612,2.442339637808588
2022-01-14,18403.330078125,672.0,14893.75,26.941999435424805,3900.610107421875,-0.18224080660121933,1.6641452344931862,0.5871651774452147,2.328797050360354,-0.769405984046434,-0.6646518158671677
2022-01-17,18525.439453125,683.0,,,,0.6635178224898786,1.6369047619047672,,,,
2022-01-18,18378.640625,662.0,14506.900390625,25.902999877929688,3727.239990234375,-0.7924175213033124,-3.0746705710102518,,,,
2022-01-19,18227.4609375,654.0,14340.259765625,25.066999435424805,3612.18994140625,-0.8225836207622184,-1.2084592145015116,-1.1486990364095284,-3.0867357382289295,0.32611541564731006,1.878276523727418
2022-01-20,18218.279296875,651.0,14154.01953125,24.149999618530273,3494.75,-0.05037257057625144,-0.4587155963302725,-1.2987228782384785,-3.251211683528743,1.248350307662227,2.7924960871984705
2022-01-21,17899.30078125,641.0,13768.919921875,23.374000549316406,3434.7900390625,-1.7508707075300722,-1.5360983102918557,-2.720779129382689,-1.7157153140424874,0.9699084218526166,0.17961700375063172
2022-01-24,17989.0390625,653.0,13855.1298828125,23.371999740600582,3479.949951171875,0.5013507641818293,1.8720748829953227,0.6261199965331699,1.314779407060973,-0.12476923235134052,0.5572954759343496
2022-01-25,17701.119140625,641.0,13539.2900390625,22.323999404907227,3350.85009765625,-1.6005297496696103,-1.8376722817764146,-2.279587751406098,-3.7098192596749957,0.6790580017364878,1.872146977898581
2022-01-26,17674.400390625,636.0,13542.1201171875,22.77199935913086,3407.0,-0.15094384591016752,-0.7800312012480548,0.020902706987113717,1.6756912636296084,-0.17184655289728124,-2.455722464877663
2022-01-27,,,13352.7802734375,21.944000244140625,3244.0,,,-1.3981551050466057,-4.784267684179633,,
2022-01-28,,,13770.5703125,22.84000015258789,3303.39990234375,,,3.128861783890824,1.831069739326452,,
2022-01-31,,,14239.8798828125,24.486000061035156,3483.2099609375,,,3.408061973195786,5.443181688846566,,
2022-02-01,,,14346.0,24.63800048828125,3510.860107421875,,,0.7452318282233916,0.7938122247713508,,
2022-02-02,,,14417.5498046875,25.242000579833984,3597.169921875,,,0.49874393341349244,2.458366662649647,,
2022-02-03,,,13878.8203125,23.947999954223633,3432.550048828125,,,-3.7366230703940073,-4.576371887404973,,
2022-02-04,,,14098.009765625,24.319000244140625,3453.070068359375,,,1.579308962791215,0.5978068561084848,,
2022-02-07,17900.30078125,635.0,14015.669921875,24.72800064086914,3452.330078125,,,-0.5840529629279168,-0.021429922351001718,,
2022-02-08,17966.560546875,628.0,14194.4501953125,25.107999801635746,3535.1298828125,0.3701600684520523,-1.1023622047244053,1.2755742282319904,2.3983745126847644,-0.9054141597799381,-3.5007367174091697
2022-02-09,18151.759765625,633.0,14490.3701171875,26.704999923706055,3653.719970703125,1.0307995137233572,0.79617834394905,2.0847579004696026,3.354617562064699,-1.0539583867462454,-2.558439218115649
2022-02-10,18338.05078125,649.0,14185.6396484375,25.823999404907227,3536.10009765625,1.026297273820198,2.5276461295418606,-2.1029860954935087,-3.219181381988623,3.1292833693137068,5.746827511530483
2022-02-11,18310.939453125,650.0,13791.150390625,23.948999404907227,3365.25,-0.14784192959439446,0.15408320493066618,-2.780905673548195,-4.831596757385082,2.6330637439538007,4.985679962315748
2022-02-14,17997.669921875,637.0,13790.919921875,24.267000198364254,3370.199951171875,-1.7108326530812512,-2.0000000000000018,-0.0016711350646736456,0.14709014699874068,-1.7091615180165776,-2.1470901469987425
2022-02-15,17951.810546875,633.0,14139.759765625,26.4950008392334,3554.449951171875,-0.2548072900495857,-0.6279434850863463,2.5294892996708285,5.467034676560756,-2.784296589720414,-6.094978161647102
2022-02-16,18231.470703125,646.0,14124.08984375,26.51099967956543,3555.68994140625,1.5578381663496454,2.0537124802527673,-0.11082169806798658,0.034885573053755614,1.668659864417632,2.0188269071990117
2022-02-17,18268.5703125,645.0,13716.7197265625,24.506999969482425,3422.60009765625,0.20349213719024206,-0.1547987616099089,-2.884222075150311,-3.743010384571499,3.087714212340553,3.58821162296159
