date,twse_close,twse_return,twse_cumulative_return,tsmc_close,tsmc_return,tsmc_cumulative_return
2024-09-30,22224.5390625,-2.6212834827579523,-2.6212834827579523,957.0,-4.300000000000004,-4.300000000000004
2024-10-01,22390.390625,0.7462542284165874,-1.8945906931702283,972.0,1.5673981191222541,-2.8000000000000025
2024-10-04,22302.7109375,-0.3915951667323836,-2.2787667343187934,977.0,0.5144032921810648,-2.300000000000002
2024-10-07,22702.560546875,1.792829627283954,-0.5267915121843991,1005.0,2.865916069600827,0.5000000000000115
2024-10-08,22611.390625,-0.4015843133057917,-0.9262603134134295,1010.0,0.4975124378109541,1.000000000000023
2024-10-09,22659.080078125,0.2109089790889307,-0.7173049004952303,1020.0,0.990099009900991,2.000000000000024
2024-10-11,22901.640625,1.070478351454196,0.34549485728523344,1045.0,2.450980392156854,4.500000000000015
2024-10-14,22975.2890625,0.3215858580000841,0.6681917778864621,1045.0,0.0,4.500000000000015
2024-10-15,23292.0390625,1.3786551243744505,2.0560589624473824,1070.0,2.392344497607657,7.000000000000006
2024-10-16,23010.98046875,-1.2066723441250926,0.8245767234435375,1045.0,-2.336448598130836,4.500000000000015
2024-10-17,23053.83984375,0.1862561878152258,1.0123687364294698,1035.0,-0.9569377990430672,3.500000000000014
2024-10-18,23487.26953125,1.8800759024857339,2.911477939573115,1085.0,4.8309178743961345,8.500000000000018
2024-10-21,23542.529296875,0.23527539270360442,3.15360332343253,1085.0,0.0,8.500000000000018
2024-10-22,23535.4296875,-0.030156527726787896,3.1224957784451224,1075.0,-0.9216589861751112,7.500000000000018
2024-10-23,23334.759765625,-0.852629098085167,2.243243372766446,1060.0,-1.3953488372092981,6.0000000000000275
