date,twse_close,twse_return,twse_cumulative_return,tsmc_close,tsmc_return,tsmc_cumulative_return
2022-07-22,14949.3603515625,0.07805857727456456,0.07805857727456456,503.0,0.3992015968063978,0.3992015968063978
2022-07-25,14936.330078125,-0.08716274898101783,-0.009172209708219192,499.5,-0.6958250497017926,-0.29940119760478723
2022-07-26,14806.7802734375,-0.867346958790316,-0.8764396136165753,495.0,-0.9009009009009028,-1.19760479041916
2022-07-27,14921.58984375,0.7753851154154168,-0.10785028051074619,502.0,1.4141414141414232,0.1996007984031989
2022-07-28,14891.900390625,-0.19896977088829093,-0.3066054619429992,501.0,-0.19920318725099584,0.0
2022-07-29,15000.0703125,0.7263674819037558,0.4175349375874715,509.0,1.5968063872255467,1.5968063872255467
2022-08-01,14981.6904296875,-0.12253197771469049,0.2944913460561027,504.0,-0.9823182711198419,0.5988023952095745
2022-08-02,14747.23046875,-1.5649766762827921,-1.2750940511061404,492.0,-2.3809523809523836,-1.7964071856287567
2022-08-03,14777.01953125,0.20199767382169664,-1.075672037606712,501.0,1.8292682926829285,-1.1102230246251565e-14
2022-08-04,14702.2001953125,-0.5063222375748633,-1.5765479084517975,500.0,-0.1996007984031989,-0.19960079840321
2022-08-05,15036.0400390625,2.2706794854856938,0.6583332270978293,516.0,3.200000000000003,2.9940119760478945
2022-08-08,15020.41015625,-0.10394946257056281,0.5536994306757803,512.0,-0.7751937984496138,2.195608782435121
2022-08-09,15050.2802734375,0.19886352554141506,0.7536640624259405,510.0,-0.390625,1.7964071856287234
2022-08-10,14939.01953125,-0.739260267357722,0.0088322561053511,500.0,-1.9607843137254943,-0.1996007984032211
2022-08-11,15197.849609375,1.7325774130194427,1.7415626947991258,514.0,2.8000000000000025,2.5948103792414967
