date,twse_close,twse_return,twse_cumulative_return,tsmc_close,tsmc_return,tsmc_cumulative_return
2023-03-27,15830.3095703125,-0.5302683931479701,-0.5302683931479701,531.0,-1.4842300556586308,-1.4842300556586308
2023-03-28,15701.48046875,-0.8138129010698658,-1.3397659016241015,525.0,-1.1299435028248594,-2.5974025974025983
2023-03-29,15769.759765625,0.4348589740368336,-0.9107330198415697,530.0,0.952380952380949,-1.6697588126159624
2023-03-30,15849.4296875,0.505206947087844,-0.4101271592393929,535.0,0.9433962264151052,-0.7421150278293043
2023-03-31,15868.0595703125,0.11754292223644658,-0.29306631245080705,533.0,-0.37383177570093906,-1.1131725417439675
2023-04-06,15810.76953125,-0.36103997976969504,-0.6530482056653186,530.0,-0.5628517823639823,-1.6697588126159624
2023-04-07,15836.5,0.1627401417694685,-0.4913708354715718,531.0,0.18867924528302993,-1.4842300556586197
2023-04-10,15876.169921875,0.2504967756448817,-0.24210492792600125,529.0,-0.37664783427495685,-1.855287569573283
2023-04-11,15913.8798828125,0.23752555637202022,-0.005154432631038208,524.0,-0.9451795841209809,-2.782931354359919
2023-04-12,15932.9697265625,0.1199571939123345,0.11479657816855227,520.0,-0.7633587786259555,-3.525046382189234
2023-04-13,15804.759765625,-0.8046833900886452,-0.6908105609170101,510.0,-1.9230769230769273,-5.380333951762517
2023-04-14,15929.4296875,0.788812507901282,0.09255274687385295,516.0,1.17647058823529,-4.2671614100185495
2023-04-17,15963.5498046875,0.21419547251133597,0.30694646317868113,520.0,0.7751937984496138,-3.525046382189234
2023-04-18,15869.4404296875,-0.5895266162690538,-0.28438968418851296,515.0,-0.9615384615384581,-4.45269016697587
2023-04-19,15770.4697265625,-0.6236559100083472,-0.9062719811239628,510.0,-0.9708737864077666,-5.380333951762517
