event_name,event_date,event_trading_date,twse_day0_abnormal_return,twse_cumulative_abnormal_return,tsmc_day0_abnormal_return,tsmc_cumulative_abnormal_return
Pelosi,2022-08-02,2022-08-02,-1.4014975344401215,-4.232817085372854,-2.2610838551581858,0.23418295697126235
Joint Sword 2023,2023-04-08,2023-04-10,0.28027524435781936,-5.75603501385551,-2.1736557750028362,-7.926655107027303
Joint Sword 2024A,2024-05-23,2024-05-23,0.6478842810802354,-0.5291782516678945,1.2893390761426038,-3.574543167074184
Joint Sword 2024B,2024-10-14,2024-10-14,-0.549321448913509,1.3832601155431945,-1.8041810925232937,9.058696650090148
