event_name,event_date,twse_day0_return,twse_window_return,tsmc_day0_return,tsmc_window_return
Pelosi Visit,2022-08-02,-1.5649766762827921,1.7415626947991258,-2.3809523809523836,2.5948103792414967
Joint Sword 2023,2023-04-08,0.2504967756448817,-0.9062719811239628,-0.37664783427495685,-5.380333951762517
Joint Sword-2024A,2024-05-23,0.25798091936253265,3.2556248869292315,1.27314814814814,3.2967032967033294
Joint Sword-2024B,2024-10-14,0.3215858580000841,2.243243372766446,0.0,6.0000000000000275
