date,TSMC,SOX,TWSE,NASDAQ
2022-01-03,631.0,4027.219970703125,18270.509765625,15832.7998046875
2022-01-04,656.0,4009.0,18526.349609375,15622.7197265625
2022-01-05,650.0,3879.8701171875,18499.9609375,15100.169921875
2022-01-06,644.0,3909.0400390625,18367.919921875,15080.8603515625
2022-01-07,634.0,3796.320068359375,18169.759765625,14935.900390625
2022-01-10,643.0,3805.389892578125,18239.380859375,14942.830078125
2022-01-11,651.0,3875.43994140625,18288.2109375,15153.4501953125
2022-01-12,660.0,3901.2099609375,18375.400390625,15188.3896484375
2022-01-13,661.0,3811.840087890625,18436.9296875,14806.8095703125
2022-01-14,672.0,3900.610107421875,18403.330078125,14893.75
2022-01-17,683.0,,18525.439453125,
2022-01-18,662.0,3727.239990234375,18378.640625,14506.900390625
2022-01-19,654.0,3612.18994140625,18227.4609375,14340.259765625
2022-01-20,651.0,3494.75,18218.279296875,14154.01953125
2022-01-21,641.0,3434.7900390625,17899.30078125,13768.919921875
2022-01-24,653.0,3479.949951171875,17989.0390625,13855.1298828125
2022-01-25,641.0,3350.85009765625,17701.119140625,13539.2900390625
2022-01-26,636.0,3407.0,17674.400390625,13542.1201171875
2022-01-27,,3244.0,,13352.7802734375
2022-01-28,,3303.39990234375,,13770.5703125
2022-01-31,,3483.2099609375,,14239.8798828125
2022-02-01,,3510.860107421875,,14346.0
2022-02-02,,3597.169921875,,14417.5498046875
2022-02-03,,3432.550048828125,,13878.8203125
2022-02-04,,3453.070068359375,,14098.009765625
2022-02-07,635.0,3452.330078125,17900.30078125,14015.669921875
2022-02-08,628.0,3535.1298828125,17966.560546875,14194.4501953125
2022-02-09,633.0,3653.719970703125,18151.759765625,14490.3701171875
2022-02-10,649.0,3536.10009765625,18338.05078125,14185.6396484375
2022-02-11,650.0,3365.25,18310.939453125,13791.150390625
2022-02-14,637.0,3370.199951171875,17997.669921875,13790.919921875
2022-02-15,633.0,3554.449951171875,17951.810546875,14139.759765625
2022-02-16,646.0,3555.68994140625,18231.470703125,14124.08984375
2022-02-17,645.0,3422.60009765625,18268.5703125,13716.7197265625
2022-02-18,637.0,3384.300048828125,18232.349609375,13548.0703125
2022-02-21,632.0,,18221.490234375,
2022-02-22,627.0,3356.070068359375,17969.2890625,13381.51953125
2022-02-23,625.0,3277.800048828125,18055.73046875,13037.490234375
2022-02-24,604.0,3399.159912109375,17594.55078125,13473.58984375
2022-02-25,604.0,3452.669921875,17652.1796875,13694.6201171875
2022-02-28,,3429.530029296875,,13751.400390625
2022-03-01,604.0,3304.85009765625,17898.25,13532.4599609375
2022-03-02,601.0,3416.159912109375,17867.599609375,13752.01953125
2022-03-03,602.0,3339.760009765625,17934.400390625,13537.9404296875
2022-03-04,595.0,3258.919921875,17736.51953125,13313.4404296875
2022-03-07,576.0,3098.929931640625,17178.689453125,12830.9599609375
2022-03-08,563.0,3156.8701171875,16825.25,12795.5498046875
2022-03-09,568.0,3282.179931640625,17015.359375,13255.5498046875
2022-03-10,587.0,3211.070068359375,17433.19921875,13129.9599609375
2022-03-11,575.0,3144.14990234375,17264.740234375,12843.8095703125
2022-03-14,572.0,3047.5,17263.0390625,12581.2197265625
2022-03-15,558.0,3180.239990234375,16926.060546875,12948.6201171875
2022-03-16,558.0,3340.070068359375,16940.830078125,13436.5498046875
2022-03-17,582.0,3364.550048828125,17448.220703125,13614.7802734375
2022-03-18,581.0,3432.300048828125,17456.51953125,13893.83984375
2022-03-21,586.0,3423.239990234375,17560.359375,13838.4599609375
2022-03-22,583.0,3445.85009765625,17559.7109375,14108.8203125
2022-03-23,590.0,3360.320068359375,17731.369140625,13922.599609375
2022-03-24,591.0,3532.719970703125,17699.060546875,14191.83984375
2022-03-25,598.0,3525.340087890625,17676.94921875,14169.2998046875
2022-03-28,584.0,3547.169921875,17520.009765625,14354.900390625
2022-03-29,589.0,3625.580078125,17548.66015625,14619.6396484375
2022-03-30,600.0,3508.6201171875,17740.560546875,14442.26953125
2022-03-31,597.0,3429.0,17693.470703125,14220.51953125
2022-04-01,589.0,3366.639892578125,17625.58984375,14261.5
2022-04-04,,3424.949951171875,,14532.5498046875
2022-04-05,,3269.820068359375,,14204.169921875
2022-04-06,578.0,3193.9599609375,17522.5,13888.8203125
2022-04-07,566.0,3197.43994140625,17178.630859375,13897.2998046875
2022-04-08,567.0,3120.159912109375,17284.5390625,13711.0
2022-04-11,558.0,3055.090087890625,17048.369140625,13411.9599609375
2022-04-12,557.0,3047.469970703125,16990.91015625,13371.5703125
2022-04-13,573.0,3119.320068359375,17301.650390625,13643.58984375
2022-04-14,573.0,3028.219970703125,17245.650390625,13351.080078125
2022-04-15,562.0,,17004.1796875,
2022-04-18,561.0,3085.18994140625,16898.869140625,13332.3603515625
2022-04-19,565.0,3153.22998046875,16993.400390625,13619.66015625
2022-04-20,570.0,3142.199951171875,17148.880859375,13453.0703125
2022-04-21,565.0,3058.739990234375,17127.94921875,13174.650390625
2022-04-22,558.0,2989.830078125,17025.08984375,12839.2900390625
2022-04-25,547.0,3042.389892578125,16620.900390625,13004.849609375
2022-04-26,546.0,2909.1201171875,16644.7890625,12490.740234375
2022-04-27,526.0,2894.909912109375,16303.349609375,12488.9296875
2022-04-28,531.0,3056.360107421875,16419.380859375,12871.5302734375
2022-04-29,538.0,2919.739990234375,16592.1796875,12334.6396484375
2022-05-02,,3022.239990234375,,12536.01953125
2022-05-03,531.0,3044.889892578125,16498.900390625,12563.759765625
2022-05-04,534.0,3163.7900390625,16565.830078125,12964.8603515625
2022-05-05,542.0,3005.530029296875,16696.119140625,12317.6904296875
2022-05-06,528.0,2982.06005859375,16408.19921875,12144.66015625
2022-05-09,520.0,2829.10009765625,16048.919921875,11623.25
2022-05-10,518.0,2900.1298828125,16061.7001953125,11737.669921875
2022-05-11,521.0,2811.93994140625,16006.25,11364.240234375
2022-05-12,505.0,2827.2099609375,15616.6796875,11370.9599609375
2022-05-13,511.0,2970.3701171875,15832.5400390625,11805.0
2022-05-16,520.0,2920.06005859375,15901.0400390625,11662.7900390625
2022-05-17,530.0,3066.5,16056.08984375,11984.51953125
2022-05-18,538.0,2907.9599609375,16296.8603515625,11418.150390625
2022-05-19,522.0,2890.330078125,16020.3203125,11388.5
2022-05-20,530.0,2882.64990234375,16144.849609375,11354.6201171875
2022-05-23,528.0,2898.429931640625,16156.41015625,11535.26953125
2022-05-24,520.0,2827.050048828125,15963.6298828125,11264.4501953125
2022-05-25,524.0,2882.929931640625,16104.0302734375,11434.740234375
2022-05-26,514.0,2994.610107421875,15968.830078125,11740.650390625
2022-05-27,530.0,3115.35009765625,16266.2197265625,12131.1298828125
2022-05-30,547.0,,16610.619140625,
2022-05-31,560.0,3098.68994140625,16807.76953125,12081.3896484375
2022-06-01,549.0,3049.030029296875,16675.08984375,11994.4599609375
2022-06-02,540.0,3157.97998046875,16552.5703125,12316.900390625
2022-06-03,,3062.590087890625,,12012.73046875
2022-06-06,540.0,3062.739990234375,16605.9609375,12061.3701171875
2022-06-07,535.0,3092.969970703125,16512.880859375,12175.23046875
2022-06-08,544.0,3019.10009765625,16670.509765625,12086.26953125
2022-06-09,541.0,2937.7900390625,16621.33984375,11754.23046875
